model,metric,mean,std,ci_lower,ci_upper
baseline,mean_response,0.08469320316603852,0.00024258782911994506,0.08457966856718827,0.08480673776488878
baseline,p95_response,0.25122611075449797,0.0008402488339667815,0.250832862195224,0.25161935931377194
baseline,throughput,168.2020314262584,0.2675326329253796,168.07682229986187,168.32724055265493
dedicated,mean_response,0.08329038757293272,0.00017189344324184208,0.08320993896512642,0.08337083618073902
dedicated,p95_response,0.2494303968008511,0.000719334897623239,0.24909373770572285,0.24976705589597936
dedicated,throughput,104.6389224836108,0.1867299472855072,104.55153017817115,104.72631478905045
shared,mean_response,0.09347906249236626,0.0002833511462805571,0.09334645007383137,0.09361167491090115
shared,p95_response,0.2740285895672844,0.0008466166380285498,0.27363236078397224,0.2744248183505965
shared,throughput,168.21977485727268,0.2222602530611087,168.11575385686555,168.3237958576798
