,mean,std,ci_lower,ci_upper
mean_wait,0.02460337965716232,0.0012735089301592426,0.023692366249135084,0.025514393065189555
mean_response,0.10799089915878479,0.0013501258894525134,0.10702507727981128,0.1089567210377583
p95_response,0.2929164005948635,0.003543000060116919,0.2903818910339418,0.29545091015578523
p99_response,0.43200621284505303,0.004775886574953945,0.42858974940144273,0.4354226762886633
throughput,100.0951542214974,0.24174819992528684,99.92221797717059,100.2680904658242
