k_phases,cv_squared,mean_wait,p99_wait,analytical_wait
1,1.0,0.003457225115193899,0.07179093870000536,0.0033047735618115057
2,0.5,0.004160700132045346,0.09011080341838712,0.0024785801713586293
4,0.25,0.0019669794418808377,0.04459782778750198,0.002065483476132191
8,0.125,0.00183967676587348,0.04317514294797674,0.0018589351285189719
