n_threads,arrival_rate,mean_delivery_time,queue_length,sender_utilization,broker_utilization
5,5,0.22266779730259448,0.0,0.1,0.11363636363636363
5,10,0.22559147108909747,0.007760532150776054,0.2,0.22727272727272727
5,20,0.22087222981329724,0.16186252771618626,0.4,0.45454545454545453
5,30,0.24000068465574406,1.157679434734102,0.6,0.6818181818181819
5,40,0.38081292026810043,7.821593690508567,0.8,0.9090909090909091
6,5,0.22266779730259448,0.0,0.08333333333333333,0.0946969696969697
6,10,0.22159338434248205,0.0,0.16666666666666666,0.1893939393939394
6,20,0.22113642954364846,0.0400427122263748,0.3333333333333333,0.3787878787878788
6,30,0.22084263532221596,0.2648487112439298,0.5,0.5681818181818182
6,40,0.23728387986054034,1.2141657334826428,0.6666666666666666,0.7575757575757576
6,50,0.3458119547310144,7.400043936731107,0.8333333333333334,0.946969696969697
7,5,0.22266779730259448,0.0,0.07142857142857142,0.08116883116883117
7,10,0.22159338434248205,0.0,0.14285714285714285,0.16233766233766234
7,20,0.21884187177035563,0.025876010781671156,0.2857142857142857,0.3246753246753247
7,30,0.2219139837159966,0.10736533528765116,0.42857142857142855,0.48701298701298706
7,40,0.22611598786910625,0.5973884657236126,0.5714285714285714,0.6493506493506493
7,50,0.25102427418946793,2.067588325652842,0.7142857142857143,0.8116883116883117
8,5,0.22266779730259448,0.0,0.0625,0.07102272727272727
8,10,0.22159338434248205,0.0,0.125,0.14204545454545453
8,20,0.2209138654688546,0.002175095160413268,0.25,0.28409090909090906
8,30,0.22222615126657652,0.04723544489198096,0.375,0.42613636363636365
8,40,0.22114074537201633,0.18609125893347994,0.5,0.5681818181818181
8,50,0.2363642110069133,1.0179745725558964,0.625,0.7102272727272727
8,60,0.25144157565965275,2.2568722139673105,0.75,0.8522727272727273
