servers,capacity,utilization,p99_latency,mean_latency
1,10.0,0.8,12.27235126281359,1.4970261504753657
2,20.0,0.4,0.9019070129005741,0.25039389996246153
3,30.0,0.26666666666666666,0.7743667640688514,0.22316685185089982
4,40.0,0.2,0.7730472254195082,0.22027481065913046
