arrival_time,wait_time,service_time,response_time,queue_length,departure_time,phase,p99_latency,mean_latency,time_offset
0.058745876673138145,6.938893903907228e-18,0.005465879515199203,0.0054658795151992096,0,0.06421175618833735,1. Baseline,,,0.058745876673138145
0.07083837260224471,0.0,0.00453915269284465,0.00453915269284465,0,0.07537752529508936,1. Baseline,,,0.07083837260224471
0.09755135021073484,0.0,0.0036117419238805627,0.0036117419238805627,0,0.1011630921346154,1. Baseline,,,0.09755135021073484
0.028494678898244512,3.469446951953614e-18,0.0764531368094514,0.0764531368094514,0,0.10494781570769592,1. Baseline,,,0.028494678898244512
0.0598883291730922,0.0,0.049926804962761306,0.049926804962761306,0,0.1098151341358535,1. Baseline,,,0.0598883291730922
0.13385499662155592,0.0,0.005103448618260727,0.005103448618260727,0,0.13895844523981665,1. Baseline,,,0.13385499662155592
0.17984199645959928,0.0,0.02710775742086139,0.02710775742086139,1,0.20694975388046066,1. Baseline,,,0.17984199645959928
0.17636606166129176,0.0,0.037283138424153935,0.037283138424153935,1,0.2136492000854457,1. Baseline,,,0.17636606166129176
0.140884014170979,0.0,0.08525243358460151,0.08525243358460151,0,0.2261364477555805,1. Baseline,,,0.140884014170979
0.22894791543730542,0.0,0.0010133185478878167,0.0010133185478878167,0,0.22996123398519322,1. Baseline,,,0.22894791543730542
0.1869509847643414,0.019998769116119253,0.10450117784057983,0.12449994695669908,3,0.3114509317210405,1. Baseline,,,0.1869509847643414
0.1674350447788408,0.0,0.14710403086347318,0.14710403086347318,3,0.314539075642314,1. Baseline,,,0.1674350447788408
0.21263772541925494,0.0010114746661907814,0.1011048600426371,0.10211633470882789,2,0.3147540601280828,1. Baseline,,,0.21263772541925494
0.25047500110115795,0.0,0.06952982801121499,0.06952982801121499,1,0.32000482911237293,1. Baseline,,,0.25047500110115795
0.1469948554485114,0.0,0.17694357278887476,0.17694357278887476,0,0.32393842823738617,1. Baseline,,,0.1469948554485114
0.2805937403205599,0.03416031980752293,0.01844589887763647,0.0526062186851594,0,0.3331999590057193,1. Baseline,,,0.2805937403205599
0.34647735083957604,0.0,0.0025066316887140047,0.0025066316887140047,0,0.34898398252829005,1. Baseline,,,0.34647735083957604
0.3130980338610564,0.006906795251316544,0.04520574374070978,0.05211253899202632,0,0.3652105728530827,1. Baseline,,,0.3130980338610564
0.34166861418613204,0.0,0.04154739974170394,0.04154739974170394,0,0.383216013927836,1. Baseline,,,0.34166861418613204
0.28016497292492193,0.03437410271739205,0.0763992816767366,0.11077338439412865,0,0.3909383573190506,1. Baseline,,,0.28016497292492193
0.4034550130524944,0.0,0.03004865034120447,0.03004865034120447,2,0.4335036633936989,1. Baseline,,,0.4034550130524944
0.3514025949817763,0.0,0.08551387825178972,0.08551387825178972,1,0.43691647323356597,1. Baseline,,,0.3514025949817763
0.406868261842581,0.0,0.04323287537860091,0.04323287537860091,1,0.45010113722118195,1. Baseline,,,0.406868261842581
0.44095985244592095,0.009141284775260994,0.007439572102871047,0.01658085687813204,0,0.457540709324053,1. Baseline,,,0.44095985244592095
0.4284169545865548,0.00849951864701115,0.04039590423400821,0.04889542288101936,1,0.47731237746757416,1. Baseline,,,0.4284169545865548
0.39646578567357327,0.0,0.09317412823794893,0.09317412823794893,0,0.4896399139115222,1. Baseline,,,0.39646578567357327
0.5169276319515854,0.0,0.003781521566938604,0.003781521566938604,0,0.520709153518524,1. Baseline,,,0.5169276319515854
0.47015898538085954,5.551115123125783e-17,0.0614049171861702,0.061404917186170256,0,0.5315639025670298,1. Baseline,,,0.47015898538085954
0.2708303789332506,0.04062055278778992,0.23129377641185814,0.2719143291996481,0,0.5427447081328987,1. Baseline,,,0.2708303789332506
0.47254925861793556,0.004763118849638592,0.07483347698624301,0.0795965958358816,0,0.5521458544538171,1. Baseline,,,0.47254925861793556
0.4157060816370431,0.017797581756655745,0.1330366503725433,0.15083423212919905,0,0.5665403137662421,1. Baseline,,,0.4157060816370431
0.5648924968326622,0.0,0.015819089267795572,0.015819089267795572,0,0.5807115861004577,1. Baseline,,,0.5648924968326622
0.5607505581513907,0.0,0.02016797528255144,0.02016797528255144,0,0.5809185334339422,1. Baseline,,,0.5607505581513907
0.6356106211882299,0.0,0.03692879912631008,0.03692879912631008,3,0.67253942031454,1. Baseline,,,0.6356106211882299
0.6261322790930924,0.0,0.048198197036648585,0.048198197036648585,2,0.6743304761297411,1. Baseline,,,0.6261322790930924
0.6690843039692782,0.005246172160462859,0.0037075969305843796,0.008953769091047238,1,0.6780380730603255,1. Baseline,,,0.6690843039692782
0.5696205288276984,0.0,0.10966422129918243,0.10966422129918243,0,0.6792847501268808,1. Baseline,,,0.5696205288276984
0.698851167350128,0.0,0.012113923756254046,0.012113923756254046,0,0.7109650911063821,1. Baseline,,,0.698851167350128
0.656882041085221,0.0,0.063256991188995,0.063256991188995,0,0.7201390322742159,1. Baseline,,,0.656882041085221
0.6278244528973043,0.0,0.13596015253571153,0.13596015253571153,2,0.7637846054330157,1. Baseline,,,0.6278244528973043
0.7474987161458425,0.0,0.024450385595876898,0.024450385595876898,1,0.7719491017417194,1. Baseline,,,0.7474987161458425
0.666128818694404,0.006410601620135958,0.12301908821843041,0.12942968983856637,1,0.7955585085329704,1. Baseline,,,0.666128818694404
0.7852361589265099,0.010322349606460501,0.011569059782297707,0.021891409388758207,0,0.8071275683152681,1. Baseline,,,0.7852361589265099
0.8315145978882615,0.0,0.009513698362557383,0.009513698362557383,0,0.8410282962508189,1. Baseline,,,0.8315145978882615
